text,label
I just need women who know how to treat a bottom beta bitch girl like me right. That aren't afraid to take what they want.,against
Im not for abusing women but i swear to odin this bitch is about to have a permanant imprint of my fist in her face,against
If this hypothetical woman exists: shame on her. Real rape victims might say: FUCK YOU AND YOUR FALSE NARRATIVE.,against
Daily migrant invasions  #migrant #buildthewall #illegal #trespassers #sendthemback,against
You fucking bitch hoe,against
You can't be a HOE &; try to come back to someone. Bitch it don't work like that👌🏽👐🏽,against
get u a girl with a resting bitch face that only smiles at u,against
"If your girl keeps a toothbrush in her car, she's a hoe",against
"Big game today, jets gang bitch hoe",against
Titties are 😎 but where's your ass bitch,against
"@user @user , you don't have to be a skank anymore. He, the skunk, done you wrong. Someone standing up and exposing your philandering immoral husband is a hero @user @user",against
Disqualify ALL Immigrants from claiming ALL Welfare Benefits. That at a Stroke would get rid of the ones we DON'T need &amp; allow the ones we DO need 2 remain. Simples!!,against
So no the US immigration system is not generous at all. And there is nothing noble or easy for “those who come here the right way” oh and fuck you because asylum IS legal immigration!,against
"@user Those Immigrants some from Pakinstan and Iraq can not be vetted or their family have ties to Extremists!  Do we want them to  infirate  U.S Arm Forces learning  U.S Military to over throw the U.S,  this is a national security threat ! We Do no",against
"@user Very Sad.Religion above NATION FIRST.Adovcating for shelter to illegal migrants, but never raised his voice for Pandits inValley",against
@user War torn? Most so called refugees come from safe countries! Moron!#fuckEU #leaveEU #sendthemback it's the only option to save Europe,against
"@user @user America's public assistance, Medicare Medicaid, SS, et al are strained and Americans ""benefits"" are being cut not even able to maintain status quo. No immigrants should be granted entry that need assistance!#NODACA#NOREFUGE",against
Her- where'd you learn to eat pussy like that? Me-,against
#Democrats Illegal Alien Grand Ma Caught  Sneakin in 31 Pounds of Herion from Mexico Proving Illegal Grand Mas Must be deported too!  #Trump #MAGA  #RedNationRising  Abolish Illegals Keep @user @user  #Immigration,against
But I thought #WhiteGenocide wasnt real? #DeportTheMigrants #RefugeesNotWelcome #WhitePride,against
@user  #maga I hope that doesn’t mean you’re going to let them all just stay in the country!  Trump signs order that he says will keep migrant families together,against
"""Italy denies our right to worship Islam"" - Muslim migrants complain about the life in Italy - Free Speech Time - @user",against
@user We need the wall now Mr. President. Don't listen to the lifetime politicians. Listen to your voters and #BuildThatWall,against
no offense but this big bitch is serving you ALLLLLL types of kunt in this picture,against
How you take half naked pics but you not a hoe? Smh fake ass bitch.,against
Anyone feeling so sad and angry may go to Assam and other NE states and may kindly take all the illegal immigrants to their state or home just like West Bengal CM stated! #NRCAssam #IndiaForIndians #MamtaBanerjee #sarbanandasonowal,against
@user You evil kunt,against
So discusting! Lock him up! Dont release him he will only come back!,against
Hey jackass liberals see a wall DOES work #BuildThatWall,against
"@user Good one! “The government predicts that in 2030, immigration will overtake new births as the dominant driver of population growth.” PREDICTS = causes by failure to stop. #BuildTheDamnWall",against
@user @user Shut up cunt bitch whore,against
"Whatever hoe it is, it is still a hoe. And yu r still a WHORE",against
how u gonna talk about how men r trash and rape culture but u out here laughing abt a girl u hated in high school getting raped bitch fuck u,against
"Invite her over, play Rihanna 'Sex with Me' on repeat, then give her the worst sex of her life... #wastehertime2016",against
"I hope he tackles your bitch ass so deep into donnies pussy, so you can live happily ever after. suck a cock, nut cracker.",against
I want a bitch who gone rape me when she feening for the dick🤷🏽‍♂️,against
Get ur fucking knowledge up if u wanna sneak diss me. Lil stupid hoe,against
Ladies the moment you start hanging around with black dudes is the moment I no longer consider you a human #WomenSuck,against
"Prom is coming up boys, don't forget your compression shorts! #WomenSuck",against
Before fighting rape culture we need to take care of those poor men who feel hurt by women complaining about rape #NotAllMen,against
If I was a woman I would probably be a hoe lol they have so much fun and niggas pay them for stupid shit,against
fuckin butch ass cunt motherfucker bitch lick my foot,against
@user These women just whore themselves out.,against
One of the biggest reason I never wanted to come out to my friends was bc I was afraid theyll think I have crush on them when Im just being a decent human being so I call them stupid bitch and a fucking hoe everytime I see them,against
".@RepChrisStewart .@SenMikeLee .@senorrinhatch #NoDACA EVER! #DACA hurts #Utah it hurts #American Citizens and irreparably damages the real #AmericanDreamers - My Children, American Children. @user has the power to #EndDACA Use it! Don't be afraid of #IllegalAliens",against
"Too bad some of you bitches can't draw on a better personality, the way you draw on your fuckin eyebrows",against
@user Its a joke. The picture on the right is an actual photograph of a rapefugee chimping out in Germany recently. Just happens to match the older photoshop beautifully.,against
#Women have all the privileges. #Men have all the responsibilities. #ObviousChild End feminism today!,against
If ya bitch ass didn’t wish me a happy Birthday then don’t ever hit me up again! You’re trash! Yes I am talking about you hoe! 👏🏼,against
Thanks to all those who came to protest Trump's visit in Leeds - around 1500 joined the Leeds Together Against Trump protest this evening - to send a clear message that Trump is not welcome here - and refugees and migrants are @user @user @user,against
"It blows mine when a girl tells me to her talk during sex 'how this pussy feel, talk to me' ok bitch it's a C- and I'm trynna concentrate 😒",against
"Here Illegally you are breaking the law!  The laws states you get deported not a choice ! You dont get to come to the U.S Illegally ,feel Entitled Demand to stay , ake jobs from Citizens and steal U.S Resources #Trump #MAGA #SendThemHome",against
25 Straight Minutes Of Illegal Aliens Crossing Into US Through Arizona Ranch #MakePolioGreatAgain #BuildTheWallNow #DeportThemAll #NoAmnesty #NoDACA #DemocratsAreDangerous,against
@user AY YOU STUPID BITCH,against
slut - derogatory term for a female who will fuck anyone for free ≠ whore - derogatory term for someone who fucks for money. just sayin.,against
When you're both a couple of filthy whores,against
You a Bitch an a whore you make us look stupid bitc... — well u look stupid rn lmaodjdh,against
In Mexico & CanadaONLY NATIVE BORN CITIZENS ARE ALLOWED TO VOTE IN THEIR ELECTIONS & EXCLUDES NATURALIZED CITIZENS!We should do the same in U.S.A.#RETWEET#RESIST#ThursdayThoughts #TrumpKnew Help #BuildThatWall @ #EndDACA#TheFive,against
"@user Wouldn't it be awful if it suffered the same fate as that other piece of publicly funded globalist ""art"", a ""remembrance wall"" for rapefugee invaders in Liverpool.",against
@user .I would suggest #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall Add solar panels add alligatorsAnd arm those Nuns to say graceBut #BuildThatWall #BuildThat,against
You are so hot but you're a bitch so that cancels out your hotness! #WomenSuck,against
I never trapped around no bitch except Te cuz hoes be showin da next nigga ya plays💯💯💯,against
@user @user HEY PEOPLE already on Long Island-ANOTHER chopped up body - must be illegals MS-13 #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #BuildThatWall #Build,against
When're I go to a wedding all I can think about is how many times the bride is going to get pounded after the wedding #HoneyMoonPoon,against
I WILL NEVER UNDERSTAND WHY PEOPLE CAN’T JUST FUCKING MIND THEIR OWN GODDAMN BUSINESS WHY YOU ALL UP IN MY BARBECUE BITCH FOH YA CUNT,against
@user @user Hysterical woman does in both cases. I don't think Booker would mind given his proclivity for deliberate histrionics.,against
Why? Everywhere they go!! WHY?? Act like normal phucking people!!  #Scum #NoMoreRefugees,against
Naw depends if he rape fam that's a dub if its a random bitch he a whole dicchead but i stand by em right or wrong,against
"I make in a day what u make a month, n roll yo pros in a Haitian blunt, Take the bitch call wifey n make her slut 👅 @user",against
bitch you're a grown ass women,against
"Frontex ships, NGO ships and criminal elements transport refugees from Africa to Europe. They all have a good buisness, because only few goverments of Europe will and are able to ban refugees from their territory. There isnt a will.",against
Gels getting overly emotional about things that don't matter? Color me shocked! #WomenSuck,against
* Spain ðŸ‡ªðŸ‡¸ Socialist PM Pedro Sanchez in panic mode as aggressive male migrants overwhelm Spain.  What did he expect?  #v4 #visegrad,against
I'm on this new diet where I only eat pussy and ass from Friday to Sunday... It's going well,against
"The illegal immigration problem was started by, continued and made worse by government.  100 years ago we had free and open borders to the south and supply and demand for labor determined how many came.",against
@user BIG BEATIFUL WALL!#BuildTheWall #BuildThatWall,against
"@user That's just one of them. I noted that one of the missing was ""25 years old and working in foreign trade"". That means he was involved in transporting illegal drugs to the U.S. #BuildThatWall @user .",against
"Only men have a dick they can insert without consent, and women doing other shit. Not that women can't rape &amp; sexually harass either.",against
"@user He is 100% accurate. Diversity is our greatest weakness. Unity is our strength. United we stand, divided we fall. #BuildTheWall #DeportThemAll #StopTheInvasion #AmericaFirst",against
@user Mhmmm pinning you down by your throat and taking hard strikes in and out....your pussy stretched round my cock...,against
Trump was right to ditch UN’s plan for handling migrants,against
Another @user dreamer in the news.#MAGA#nosanctuarybrewster #BuildTheWall#NoDACAIllegal immigrant booked for child sex abuse,against
"@user Jungle Raj reemerge in Bihar&amp;WB.Now criminals will have a field day.Caste,illiteracy&amp;illegal migration played the trick for JD,TMC",against
"90% refugees which come to Austria are jobless and not trained. They will not be able to run into a workingprocess and will only take socialwelfare. At the moment the country has 3,5 mio. Austrian workers and 1 Mio. foreign workers in down level jobs.",against
She’s a whore and her moms a drug addict. Don’t fall for these hoes,against
"@user @user If they don’t warrant a pay raise, then these immigrants aren’t as valuable as we’ve been told they are.",against
@user Stop immigration of all refugees and you will be save.,against
For an anon calling me a “whore” you should look at yourself first. If you want to call me a “whore” take...,against
"@user @user Yeah like looking at a woman when she doesn't want you to, that's rape right?",against
But last nighttttttttttttttttt...that bitch was confusing the hell out of me...when I had a fucking hysterical caller.,against
If syrian refugees want to sue Germany because of delays go a head who is to say they would be given Asylum anyway ungratful and sad,against
@user @user @user erasing 58 prominent women and MILLIONS of female supporters to bitch about ONE man. 👏👏👏👏👏👏👏👏👏👏👏,against
@user These refugee groups need to get into another line of business. Whole refugee industry is a racket.,against
@user This is past. Today each refugee isnt need in USA.,against
Her hairy old cunt gets drilled by stiff dick,against
Her- who TF do you think you are Me-,against
"Migration isnt possible to stop with humanity !!! Sorry, only to execute them open with TV will end this stream immidiatly. Europes humanity will not allow to do this and this means millions of refugees will  come and destroy the own countries and everything of civilisation.",against
"Now the USA, the EU and Russia can close their borders for illegal migration of fake refugees. The migrants have to assimilate and to work, or have to go home.  I'm also expecting the deislamisation of Europe. It doesn't work that way!",against
@user 1. Physical barrier2. Monitor/deport visa overstays3. Employer crack down4. Listen for the giant sucking sound of self-deportations#StopTheInvasion#CommonSenseSolutions#AmericaFirst#AmericansHaveDreamsToo,against
"A man, knows the difference between a woman and a lil ol whore bitch #100",against
Girls with blonde hair and dark roots make my cock hard for some reason,against
"BOOM!  SCOTUS  Rules  the chief executive, acting on his own, has the power to target foreign nations and block their citizens from entering this country"" Immigration to the U.S is not a Right #Trump #MAGA #RedNationRisinghttps://t.co/092tXMPuVw",against
"states must defy UN-EU “rules” that hold them hostage regarding deportation, denying entry &amp; self-defence.Spain an abomination as migrants, smugglers, NGOs and mafia determine events.Time for PushBack now, UN-EU can do little about it.#Visegrad #V4.",against
That's exactly what shameful Dhimmis want in the USA! #MAGA #BuildThatWall,against
