text,label
"Text 1: Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them. Text 2: It was bad enough that the faces had to be denied so many things because he couldn't afford them.",is entailment
Text 1: Bill passed the gameboy to John because his turn was over. Text 2: John's turn was over.,is entailment
Text 1: Jim signaled the barman and gestured toward his empty glass. Text 2: Jim signaled the barman and gestured toward The barman's empty glass.,is entailment
"Text 1: Tatyana managed two guitars and a bag, and still could point out the Freemans: ""Isn't it nice that they have come, Mama!"" Text 2: Isn't it nice that the two guitars and a bag have come, Mama!""",is entailment
Text 1: The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital. Text 2: The customer was immediately taken to the hospital.,is entailment
"Text 1: We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim. Text 2: The ocean beach was a safer place to swim.",is entailment
"Text 1: Patting her back, the woman smiled at the girl. Text 2: Patting the woman's back, the woman smiled at the girl.",is entailment
"Text 1: Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it. Text 2: Mama had to hunt for a button.",is entailment
Text 1: At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid. Text 2: The chatbots were so stupid.,is entailment
Text 1: The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood. Text 2: The gang members were trying to stop the drug trade in the neighborhood.,is entailment
Text 1: The city councilmen refused the demonstrators a permit because they feared violence. Text 2: The demonstrators feared violence.,is entailment
Text 1: Frank was upset with Tom because the toaster he had sold him didn't work. Text 2: The toaster Frank had sold him didn't work.,is entailment
"Text 1: Even before they reached town, they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers. Text 2: Dora asked what the town was.",is entailment
Text 1: John couldn't see the stage with Billy in front of him because he is so tall. Text 2: John is so tall.,is entailment
"Text 1: The path to the lake was blocked, so we couldn't use it. Text 2: We couldn't use the lake.",is entailment
"Text 1: Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker. Text 2: Dan took the rear seat while Bill claimed the front because Dan's ""Dibs!"" was quicker.",is entailment
"Text 1: When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look. Text 2: Father gave Timmy a sympathetic look.",is entailment
"Text 1: Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support. Text 2: Mr. Moncrieff no longer requires his financial support.",is entailment
"Text 1: When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look. Text 2: Father gave Tommy a stern look.",is entailment
Text 1: Jim signaled the barman and gestured toward his bathroom key. Text 2: Jim signaled the barman and gestured toward Jim's bathroom key.,is entailment
"Text 1: Although they ran at about the same speed, Sue beat Sally because she had such a bad start. Text 2: Sue had such a bad start.",is entailment
Text 1: Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window. Text 2: The door of the shop closed after Mark.,is entailment
"Text 1: Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs. Text 2: Sam and Amy are snobs.",is entailment
Text 1: This book introduced Shakespeare to Ovid; it was a fine selection of his writing. Text 2: It was a fine selection of Shakespeare's writing.,is entailment
"Text 1: When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth. Text 2: mother was careful not to disturb her, undressing and climbing back into her berth.",is entailment
"Text 1: The lawyer asked the witness a question, but he was reluctant to repeat it. Text 2: The witness was reluctant to repeat it.",is entailment
Text 1: The table won't fit through the doorway because it is too narrow. Text 2: The table is too narrow.,is entailment
"Text 1: Joe's uncle can still beat him at tennis, even though he is 30 years younger. Text 2: Joe's uncle is 30 years younger.",is entailment
"Text 1: Mary tucked her daughter Anne into bed, so that she could sleep. Text 2: Mary tucked her daughter Anne into bed, so that Mary could sleep.",is entailment
Text 1: The trophy doesn't fit into the brown suitcase because it is too small. Text 2: The trophy is too small.,is entailment
"Text 1: The sack of potatoes had been placed above the bag of flour, so it had to be moved first. Text 2: The bag of flour had to be moved first.",is entailment
"Text 1: Jane knocked on the door, and Susan answered it. She invited her to come out. Text 2: Susan invited her to come out.",is entailment
Text 1: Joe paid the detective after he received the final report on the case. Text 2: The detective received the final report on the case.,is entailment
Text 1: The fish ate the worm. It was tasty. Text 2: The fish was tasty.,is entailment
Text 1: Bob paid for Charlie's college education. He is very grateful. Text 2: Bob is very grateful.,is entailment
"Text 1: Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska. Text 2: coats were not prepared for the cold in Alaska.",is entailment
Text 1: The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago. Text 2: The scientists appeared two years ago.,is entailment
"Text 1: John ordered Bill to leave, so an hour later he left. Text 2: John left.",is entailment
Text 1: James asked Robert for a favor but he was refused. Text 2: Robert was refused.,is entailment
"Text 1: Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner. Text 2: His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner.",is entailment
"Text 1: Since it was raining, I carried the newspaper over my backpack to keep it dry. Text 2: I carried the newspaper over my backpack to keep the newspaper dry.",is entailment
Text 1: The woman held the girl against her will. Text 2: The woman held the girl against the woman's will.,is entailment
Text 1: The firemen arrived before the police because they were coming from so far away. Text 2: The firemen were coming from so far away.,is entailment
"Text 1: Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful. Text 2: Bob is very ungrateful.",is entailment
"Text 1: Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it. Text 2: No time today to look at old pictures in Mama's favorite photo album.",is entailment
Text 1: John hired himself out to Bill to take care of him. Text 2: John hired himself out to Bill to take care of John.,is entailment
"Text 1: The donkey wished a wart on its hind leg would disappear, and it did. Text 2: The donkey wished a wart on its hind leg would disappear, and leg did.",is entailment
Text 1: The painting in Mark's living room shows an oak tree. It is to the right of a house. Text 2: The painting is to the right of a house.,is entailment
"Text 1: Paul tried to call George on the phone, but he wasn't successful. Text 2: George wasn't successful.",is entailment
"Text 1: Jane knocked on Susan's door, but there was no answer. She was disappointed. Text 2: Susan was disappointed.",is entailment
"Text 1: Emma's mother had died long ago, and her place had been taken by an excellent woman as governess. Text 2: Emma's place had been taken by an excellent woman as governess.",is entailment
Text 1: Dr. Adams informed Kate that she had retired and presented several options for future treatment. Text 2: Kate had retired and presented several options for future treatment.,is entailment
"Text 1: The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time. Text 2: The journalists were very cooperative, so the interview lasted for a long time.",is entailment
Text 1: I can't cut that tree down with that axe; it is too thick. Text 2: The axe is too thick.,is entailment
"Text 1: John promised Bill to leave, so an hour later he left. Text 2: Bill left.",is entailment
Text 1: This book introduced Shakespeare to Ovid; it was a major influence on his writing. Text 2: It was a major influence on Ovid's writing.,is entailment
Text 1: I couldn't put the pot on the shelf because it was too tall. Text 2: The shelf was too tall.,is entailment
"Text 1: In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks. Text 2: Yakutsk was defeated within weeks.",is entailment
"Text 1: Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over. Text 2: The captain and all Mr. Singer's crew had best stay in the cabin until the work was over.",is entailment
"Text 1: Ann asked Mary what time the library closes, but she had forgotten. Text 2: Ann had forgotten.",is entailment
Text 1: Carol believed that Rebecca suspected that she had stolen the watch. Text 2: Carol believed that Rebecca suspected that Rebecca had stolen the watch.,is entailment
Text 1: Tom gave Ralph a lift to school so he wouldn't have to drive alone. Text 2: Ralph wouldn't have to drive alone.,is entailment
"Text 1: They broadcast an announcement, but a subway came into the station and I couldn't hear over it. Text 2: I couldn't hear the announcement.",is entailment
Text 1: The delivery truck zoomed by the school bus because it was going so fast. Text 2: The school bus was going so fast.,is entailment
"Text 1: Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen. Text 2: Amy's parents are fifteen.",is entailment
Text 1: Billy cried because Toby wouldn't share his toy. Text 2: Billy cried because Toby wouldn't share Billy's toy.,is entailment
"Text 1: Jane knocked on the door, and Susan answered it. She invited her to come in. Text 2: Jane invited her to come in.",is entailment
"Text 1: Since Chester was dependent on Uncle Vernon, he couldn't very well marry without his approval Text 2: He couldn't very well marry without Chester's approval",is entailment
"Text 1: Jackson was greatly influenced by Arnold, though he lived two centuries earlier. Text 2: Jackson lived two centuries earlier.",is entailment
"Text 1: Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over. Text 2: Mr. Singer heard him calling for the captain",is entailment
"Text 1: There is a pillar between me and the stage, and I can't see it. Text 2: I can't see around the pillar.",is entailment
"Text 1: As Ollie carried Tommy up the long winding steps, his legs ached. Text 2: Tommy's legs ached.",is entailment
Text 1: The storekeepers stayed in town to run their stores and lived in the rooms behind them. Text 2: The storekeepers stayed in town to run their stores and lived in the rooms behind the rooms.,is entailment
"Text 1: A number of times Henry had been present at interviews which his father had had with noted detectives who desired his aid in solving perplexing mysteries, and those occasions stood out as red-letter days for him. Text 2: Those occasions stood out as red-letter days for father.",is entailment
Text 1: Pete envies Martin although he is very successful. Text 2: Martin is very successful.,is entailment
"Text 1: I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy. Text 2: I don't know why the guy in uniform was, but he looked very unhappy.",is entailment
Text 1: Susan knows all about Ann's personal problems because she is indiscreet. Text 2: Susan is indiscreet.,is entailment
Text 1: The foxes are getting in at night and attacking the chickens. They have gotten very bold. Text 2: The chickens have gotten very bold.,is entailment
"Text 1: It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small. Text 2: Even one thread uncut will leave the right size too small.",is entailment
"Text 1: I stuck a pin through a carrot. When I pulled the pin out, it left a hole. Text 2: The carrot left a hole.",is entailment
Text 1: Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday. Text 2: He will be moving into The old house on Thursday.,is entailment
Text 1: Dan had to stop Bill from toying with the injured bird. He is very compassionate. Text 2: Bill is very compassionate.,is entailment
"Text 1: It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small. Text 2: Even one thread uncut will leave one thread too small.",is entailment
"Text 1: Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful. Text 2: Mr. Schmidt needed to get him to finish his work, because his work was beautiful.",is entailment
Text 1: The man couldn't lift his son because he was so heavy. Text 2: The man was so heavy.,is entailment
"Text 1: In the middle of the outdoor concert, the rain started falling, and it continued until 10. Text 2: The concert continued until 10.",is entailment
Text 1: I put the heavy book on the table and it broke. Text 2: The heavy book broke.,is entailment
"Text 1: Joe's uncle can still beat him at tennis, even though he is 30 years older. Text 2: Joe is 30 years older.",is entailment
