text,label
It's frustrating & awful that the only voices getting access to a wider audience are the voices of hate. #ConfederateFlag #race #SemST,neither
RT @user I support whatever team buck supports #truefan #socceroos #bodypositive #SemST,neither
Today we watch the United States Supreme Court. #SemST,neither
@user a lot of people get indoctrinated in a movement by reading comments and articles. For example #meinkamp. #equality #SemST,neither
"I'll gladly accept my face on ""the least used of the most used bills"" #NeverSatisfied #SemST",neither
The fact that Chris Brown is somehow still famous is why I need #SemST,neither
"Watch colors code red now. It shows how a newly wedded wife con's the family. ,""con bride"" #colors #scrap498a #SemST",neither
pls don't h8 me my last tweet was OBVIOUSLY a joke #luv #rightsforall #SemST,neither
@user is this list for real? Please god it better be a joke. No man or woman should ever pay attention to this shit. #pissed #SemST,neither
#WhoIsBurningBlackChurches is the latest racist hate mob tag. No surprise it's all #BlackLivesMatter people. #SJWLogic #SemST,neither
@user @user 10 to realize this is all actually a symbol for #SemST,neither
people actually brag about how dank their shatter wax shit is on instagram pls kill me #lol #dabs #wax #420 #SemST,neither
"Time to go hashtag crazy, then... #Folklore #UKTourism #Britain #Storytelling #Myth #Legend #Equality #Multicultural #Folk #SemST",neither
@user you should be nice to me anyways #NicerInternet #SemST,neither
The statistics show that male victims of rape are more likely to be straight than gay. #SemST,neither
Sehri time seems to be turning into let's get my dad woke. #racepolitics #ableism #Ramadan #SemST,neither
The only thing ugly is the god damn opinions of the idiotic people who started this tag #SemST,neither
.@cooImemegirl @user So what? It is a man's choice whether he wants to breast feed his children. #SemST,neither
Hey guyz I'm talking about Baltimore *social issues* super smart super current events #SemST,neither
"We teach the young rubbernormative messages about how they ""should"" use condoms, as if rawdogging is somehow wrong #teamnocondom #SemST",neither
It's funny how the #government wants to fix the #gay problems but what about the straight people problems #SemST,neither
Honoured to be followed by the truly inspirational @user founder of @user #realaustralianssaywelcome #thethingsthatmatter #SemST,neither
"@user nope, no more adultery now than 100 years ago or 600 years ago. Sorry facts don't fit your narrative. #prochoice #SemST",neither
"@user The Mito Eve model does not explicit prove 1 ancestor, it narrows down similarities to a matter of a degree... #SemST",neither
Saying #AllLivesMatter instead of #BlackLivesMatter is like saying equal rights for all instead of #SemST,neither
Lehi high school is my favorite school due to @user ps yo gleaves hit me up  #MondayMotivation #WhatAreYouAfraidOf #SemST,neither
@user the trigger levels are over 9000 #SemST,neither
@user @user @user @user @user I have to stop tweeting now cause @user wants his tea making. #SemST,neither
"@user why do white women pretend to ne black, lies aboit dad & family instead going to the mental hospital? #SemST",neither
WOW.  Why is gay marriage legal but LESBIAN marriage isn't?!  WHAT THE FUCK @user FIX THIS NOW #SemST,neither
@user lol! Young male children for #SemST,neither
"@user @user Well you are right, its pointless for you to try. Youre still an example of why there are #SemST",neither
The meaning of peace is the absence of opposition to socialism. #GamerGate #SemST,neither
.@brigadam @user The child could be seized for adoption to prolife couples or raised by mom alone - no $$. #SemST,neither
"@user she lied you idiot, it's a fact & the reason that you won't acknowledge those facts is also the reason why #SemST",neither
@user don't be saying these inconvenient truths. It might hurt the narrative. #SemST,neither
@user @user @user @user @user @user @user @user That's right. All sex is rape. #SemST,neither
@user eat a pus or somethin lozer #SemST,neither
@user 'look we can discuss sexism in survival situations when I get back' #jurassicworld #SemST,neither
Mother and I were laughed at by first graders because mother threw a bug on me and we both screamed and ran away #strongwomen #SemST,neither
"Towie catchup, totally agree with ferne #TOWIE #SemST",neither
"@user insulting, thinking you can make a switch like that. if it wasn't written for us, it wasn't for us #SemST",neither
".@Rod_McCallum You're 55yrs out-of-date. I thought you could be more interesting, but you're just old news, bored now. Bye #SemST",neither
"@user True, but it's in quotes, and I had to take the opportunity to promote #SemST",neither
@user @user  Very nice work. I'm happy to hear your autistic friend is able to express himself this way #SemST,neither
Just give me the attention you never gave anyone else. #ExtremeRules #NepalEarthquake #FreddieGray #RHOAReunion #SemST,neither
Male rape is one of the most under-reported crimes; male rape survivors are among the most under-served crime victims. #SemST,neither
"With or without this farmer's tan, I bang bare bitches #MisogynistColloquialisms #DontSayBitch #SemST",neither
@user I've been pretty well. Enjoyed your response to #SemST,neither
Now Harry is arguing with Dead Girl's father about whose job it is to kill the RapeMurdering villain. #Horns #SemST,neither
RT @user My dream in life is to fuck a Canadian slut in her eye-socket.  #YesAllWomen #ThisFuckingGuy #SemST,neither
V! Can't wait to see you! # #SemST,neither
@user @user @user Disgusted to see you were selling DVDs of 'Fifty Shades of Grey in your Chillingham Road branch #SemST,neither
WTF LITEraL FUCK AM I EVAN SSEING THIS THING ABOUT. #SemST,neither
Or maybe I'm just cross because I'm hungry... hmmmm #SemST,neither
.@MyRainbowNinja @user This farm is fucking disgusting. #SemST,neither
