label,text
negative,chan 's stunts are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy .
negative,this loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses is a deeply unpleasant experience .
negative,"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow ."
negative,"philosophically , intellectually and logistically a mess ."
negative,it 's a shame that the storyline and its underlying themes ... finally seem so impersonal or even shallow .
negative,"-lrb- t -rrb- he script is n't up to the level of the direction , nor are the uneven performances by the cast members , who seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ."
negative,writer-director stephen gaghan has made the near-fatal mistake of being what the english call ` too clever by half . '
negative,one of the worst films of 2002 .
negative,"her film is like a beautiful food entrée that is n't heated properly , so that it ends up a bit cold and relatively flavorless ."
negative,"the main story ... is compelling enough , but it 's difficult to shrug off the annoyance of that chatty fish ."
negative,"in other words , it 's badder than bad ."
negative,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment ."
negative,"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see ."
negative,hollywood ending is the most disappointing woody allen movie ever .
negative,mattei 's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination .
negative,"an amateurish , quasi-improvised acting exercise shot on ugly digital video ."
negative,"watching junk like this induces a kind of abstract guilt , as if you were paying dues for good books unread , fine music never heard ."
negative,"nevertheless , it still seems endless ."
negative,why ?
negative,the most offensive thing about the movie is that hollywood expects people to pay to see it .
negative,the most horrific movie experience i 've had since `` ca n't stop the music . ''
negative,"... grows decidedly flimsier with its many out-sized , out of character and logically porous action set pieces ."
negative,"human nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart ."
negative,"a relentless , bombastic and ultimately empty world war ii action flick ."
negative,"despite all the closed-door hanky-panky , the film is essentially juiceless ."
negative,"` the war of the roses , ' trailer-trash style ."
negative,"if you are curious to see the darker side of what 's going on with young tv actors -lrb- dawson leery did what ?!? -rrb- , or see some interesting storytelling devices , you might want to check it out , but there 's nothing very attractive about this movie ."
negative,crummy .
negative,this tuxedo ... should have been sent back to the tailor for some major alterations .
