label,text
different,"Sentence 1: Sirius recently began carrying National Public Radio , a deal pooh-poohed by XM because it doesn 't include popular shows like "" All Things Considered "" and "" Morning Edition . "" Sentence 2: Sirius carries National Public Radio , although it doesn 't include popular shows such as "" All Things Considered "" and "" Morning Edition . """
different,"Sentence 1: Since being drafted into service in 1971 , it has racked up a record 45 accidents , with 393 deaths . Sentence 2: It has a chequered safety record , including 47 accidents that resulted in 668 deaths ."
different,"Sentence 1: It was the third time in four years that wildfires forced the park to close . Sentence 2: For the third time in four years wildfires closed Mesa Verde National Park , the country ’ s only park dedicated to ancient ruins ."
different,"Sentence 1: Regardless , its first quarter saw a profit of $ 721 million , or 29 cents , on revenue of $ 17.9 billion . Sentence 2: Analysts expected earnings of 27 cents a share on revenue of $ 17.7 billion , Thomson First Call says ."
different,"Sentence 1: "" I have heard the people of New York say , ' Enough is enough , ' "" Pataki said . "" Sentence 2: "" I have every reason to believe that people understand enough is enough , "" Mr. Pataki said ."
different,"Sentence 1: The tech-laced Nasdaq Composite Index .IXIC shed 23.45 points , or 1.44 percent , to end at 1,603.97 , based on the latest data . Sentence 2: The Standard & Poor 's 500 Index was up 1.75 points , or 0.18 percent , to 977.68 ."
different,"Sentence 1: Mr. Hampton had been living at a residence for AIDS patients in Beth Israel Hospital . Sentence 2: Hampton , 39 , died in Beth Israel Hospital , Tipograph said ."
different,Sentence 1: The Embraer jets are scheduled to be delivered by September 2006 . Sentence 2: The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006 .
different,"Sentence 1: To reach John A. Dvorak , who covers Kansas , call ( 816 ) 234-7743 or send e-mail to jdvorak @ kctar.com. Sentence 2: To reach Brad Cooper , Johnson County municipal reporter , call ( 816 ) 234-7724 or send e-mail to bcooper @ kcstar.com."
different,Sentence 1: The euro tagged another record high against the dollar on Tuesday as demand for higher-yielding euro-based assets overshadowed solid U.S. economic data . Sentence 2: The euro ros further into record territory on Tuesday as demand for higher-yielding euro-based assets overshadowed U.S. economic data showing rising consumer confidence and a strong housing market .
different,Sentence 1: She appeared in federal court there Monday and was expected to be transferred to Houston in two weeks . Sentence 2: Holloway surrendered in Cleveland on Friday and was expected to be transferred to Houston in two weeks .
different,"Sentence 1: Last month , The Washington Post Co. introduced Express , a tabloid distributed largely along transit routes . Sentence 2: Last month The Washington Post also launched a free tabloid aimed at younger readers called the Express ."
different,"Sentence 1: Rosenthal declined comment on the Garrett situation Tuesday but said in a statement : "" We had a big contract negotiation . Sentence 2: The show 's creator and executive producer , Phil Rosenthal , quipped in a statement : "" We had a big contract negotiation ."
different,"Sentence 1: The total for the Johnny Depp swashbuckler rose to $ 232.8 million . Sentence 2: Its cumulative total is $ 232.8 million , heading for $ 275 million ."
different,"Sentence 1: His next play , "" Will Success Spoil Rock Hunter ? "" a satire on Hollywood , lasted more than a year on Broadway . Sentence 2: His next play , Will Success Spoil Rock Hunter ? , lasted more than a year on Broadway and was also filmed by Fox ."
different,"Sentence 1: They cover more than 300,000 UAW workers and 500,000 retirees and spouses . Sentence 2: GM , the world 's largest automaker , has 115,000 active UAW workers and 340,000 retirees and spouses ."
different,"Sentence 1: He is a brother to three-year-old Mia , from Kate 's first marriage , to film producer Jim Threapleton . Sentence 2: Winslet , 28 , has a three-year-old daughter Mia by her first husband , British film producer Jim Threapleton ."
different,"Sentence 1: The equivalent of 75,000 55-gallon barrels of waste thought to contain transuranic waste are stored underground at Hanford . Sentence 2: The equivalent of 75,000 55-gallon barrels of transuranic and low-level radioactive waste , some of it mixed with hazardous chemicals , is buried at Hanford ."
different,"Sentence 1: But he will meet the French President , Jacques Chirac , privately . Sentence 2: They include French President Jacques Chirac and German Chancellor Gerhard Schroeder ."
different,"Sentence 1: In late morning trading , the Dow was up 13.88 , or 0.2 percent , at 9,002.93 , having shed 2.3 percent last week . Sentence 2: In early trading , the Dow Jones industrial average was down 39.94 , or 0.4 percent , at 8,945.50 , having slipped 3.61 points Monday ."
