label,text
animal,porcupine
animal,elephant
animal,llama
animal,lizard
animal,camel
animal,horse
animal,leopard
animal,spider
animal,panda
animal,butterfly
animal,tiger
animal,ant
animal,turtle
animal,wolf
animal,lion
animal,sheep
animal,cat
animal,cheetah
animal,goldfish
animal,squirrel
animal,panda
animal,sloth
animal,rhinoceros
animal,llama
animal,deer
animal,crocodile
animal,zebra
animal,monkey
animal,giraffe
animal,duck
plant/vegetable,cabbage
plant/vegetable,kale
plant/vegetable,zucchini
plant/vegetable,beans
plant/vegetable,cauliflower
plant/vegetable,onions
plant/vegetable,spinach
plant/vegetable,tomato
plant/vegetable,artichoke
plant/vegetable,corn
plant/vegetable,dill
plant/vegetable,aubergine
plant/vegetable,squash
plant/vegetable,parsley
plant/vegetable,celery
plant/vegetable,endive
plant/vegetable,garlic
plant/vegetable,broccoli
plant/vegetable,carrots
plant/vegetable,peas
plant/vegetable,radish
plant/vegetable,chard
plant/vegetable,leek
plant/vegetable,lettuce
plant/vegetable,asparagus
plant/vegetable,beet
plant/vegetable,cucumber
plant/vegetable,basil
plant/vegetable,sprout
plant/vegetable,thyme
sport,karate
sport,hockey
sport,marathon
sport,rugby
sport,weightlifting
sport,diving
sport,luge
sport,bowling
sport,billiards
sport,cycling
sport,judo
sport,swimming
sport,triathlon
sport,boxing
sport,rowing
sport,soccer
sport,taekwondo
sport,golf
sport,volleyball
sport,badminton
sport,tennis
sport,snowboarding
sport,archery
sport,climbing
sport,baseball
sport,lacrosse
sport,football
sport,skiing
sport,shooting
sport,gymnastics
