label,text
abbreviation,What is the origin of the expression `` four-letter word '' ?
abbreviation,Why do rooftops give off steam after a big rainstorm ?
abbreviation,Why do some clothing labels say `` Use a nonchlorine bleach '' ?
abbreviation,What is typhoid fever ?
abbreviation,What is hebephrenia ?
abbreviation,What is in baby powder and baby lotion that makes it smell the way it does ?
abbreviation,What is object-oriented design ?
abbreviation,What is the executor in a will ?
abbreviation,How does food color affect how you think it will taste ?
abbreviation,What is an aortic abdominal aneurysm ?
abbreviation,Shea and Gould closed their Los Angeles office for what reason ?
abbreviation,What is the origin of Boxing Day ?
abbreviation,What happens to used motor oil ?
abbreviation,What is `` cat scratch fever '' ?
abbreviation,How is an executioner determined ?
abbreviation,How does a bill become law ?
abbreviation,What is the origin of the word `` Teddy bear '' ?
abbreviation,How do you select wine ?
abbreviation,For what reason did the Shea & Gould law firm close their L.A. office ?
abbreviation,What is he doing now ?
abbreviation,What is the `` 7-minute cigarette '' ?
abbreviation,What is the origin of the surname of Braun ?
abbreviation,What is the history of Valentine 's Day cards ?
abbreviation,What are the side effects of mevacor ?
abbreviation,What function does a community 's water tower serve ?
abbreviation,How does the Elongated Man know a mystery is afoot ?
abbreviation,What is the origin of the word `` amen '' ?
abbreviation,How can I determine the radius of an ellipse ?
abbreviation,What is the origin of the word `` mind '' ?
abbreviation,How do you determine heating requirements for your home ?
abbreviation,What is viscosity ?
abbreviation,What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?
abbreviation,What is the origin of blue for boys and pink for girls ?
abbreviation,What is the origin of the first name ` Breony ' ?
abbreviation,Where did marijuana come from ?
abbreviation,What is infomatics ?
abbreviation,What is measured in curies ?
abbreviation,What does hazmat stand for ?
abbreviation,From what cause does tuberculosis stem ?
abbreviation,How is water treated to make it safe to drink ?
abbreviation,What is the English meaning of caliente ?
abbreviation,What is a rhomboideus minor ?
abbreviation,What happened during the Blackhawk Indian war of 1832 ?
abbreviation,What is endometriosis ?
abbreviation,What are pomegranates ?
abbreviation,What is the origin of the term `` buffalo wings '' that is used as a menu item in bars across the nation for chicken wings in a spicey sauce ?
abbreviation,What caused the Lynmouth floods ?
abbreviation,What is the S&P 500 used for ?
abbreviation,What 's the claim to fame of night watchman Frank Wills ?
abbreviation,What is cunnilingus ?
abbreviation,Why did David Koresh ask the FBI for a word processor ?
abbreviation,Why do many Native American students not complete college ?
abbreviation,How can I find out what year a Beanie Baby was introduced ?
abbreviation,What was the claim to fame of King Camp Gillette ?
abbreviation,How were the days of the week named ?
abbreviation,What was The Living Room War ?
abbreviation,What does the double-O indicate in 007 ?
abbreviation,What is the nature of snow and how is the formation of snow different from that of ice ?
abbreviation,What does the name Kelly mean ?
abbreviation,What did the Confederate Constitution say about slavery ?
abbreviation,What is Olestra ?
abbreviation,What is the Hub of London ?
abbreviation,What is the difference between hair and fur ?
abbreviation,Why is it called `` hamburger '' if there is no ham in it ?
abbreviation,"What are Cobol , Fortran , and Pascal ?"
abbreviation,How does marijuana lead to other drugs ?
abbreviation,What is a `` False Moon '' ?
abbreviation,What is the origin of the proverb `` A stitch in time saves nine '' ?
abbreviation,How do birds have sex ?
abbreviation,What is the filmmakers collabrative ?
abbreviation,What do the red-and-white stripes on a barbershop pole stand for ?
abbreviation,What is the meaning of `` CPR '' ?
abbreviation,What makes a tornado turn ?
abbreviation,What nuclear process takes place in an H-bomb ?
abbreviation,What does Choo Choo Charlie say ?
abbreviation,What is habeas corpus ?
abbreviation,What is an ecological niche ?
abbreviation,"What is deadrise , nautical , ?"
abbreviation,What is a dangling participle ?
abbreviation,What characteristics contribute to its `` intelligence '' ?
abbreviation,"What did FCC chairman Newton Minow declare TV to be on May 9 , 1961 ?"
abbreviation,How do you get silly putty out of fabric ?
abbreviation,What does Freddy Freeman say to become Captain Marvel Jr. ?
abbreviation,What are the seven virtues ?
abbreviation,Why do movie and TV stars get paid so much ?
abbreviation,Why do oceans contain salt water instead of fresh water ?
description,What does the `` c '' stand for in the equation E=mc2 ?
description,What 's the abbreviation for trinitrotoluene ?
description,CNN is an acronym for what ?
description,What does RCA stand for ?
description,What is the abbreviated form of the National Bureau of Investigation ?
description,What is DEET ?
description,What does G.M.T. stand for ?
description,"What is p.m. an abbreviation for , as in 5 p.m. ?"
description,"In a computer , what does SCSI mean ?"
description,What is the abbreviation for micro ?
description,What does HIV stand for ?
description,What does IOC stand for ?
description,What does NECROSIS mean ?
description,"What does Ms. , Miss , and Mrs. stand for ?"
description,What is the abbreviation of the company name ` General Motors ' ?
description,What does IQ stand for ?
description,What does JESSICA mean ?
description,What does EKG stand for ?
description,What is SAP ?
description,What is AFS ?
description,What is RAM in the computer ?
description,What does the abbreviation OAS stand for ?
description,What does the abbreviation cwt. ?
description,What do the letters ZIP stand for in the phrase `` ZIP code '' ?
description,What does A&W of root beer fame stand for ?
description,What does LOL mean ?
description,What does BMW stand for ?
description,What does SHIELD stand for ?
description,What does `` B.Y.O.B. '' mean ?
description,What is the acronym for the National Bureau of Investigation ?
description,What is the abbreviation of the National Bureau of Investigation ?
description,What does BTU mean ?
description,What is LMDS ?
description,What does CNN stand for ?
description,What is HDLC ?
description,What is BPH ?
description,What does NAFTA stand for ?
description,What does SIDS stand for ?
description,"What do the letters D.C. stand for in Washington , D.C. ?"
description,What is RCD ?
description,What is a `` USB '' port on a computer ?
description,What is the abbreviated term used for the National Bureau of Investigation ?
description,What does U.S.S.R. stand for ?
description,"What do the letters CE stand for on so many products , particularly electrical , purchased now ?"
description,What does the abbreviation AIDS stand for ?
description,What does the acronym CPR mean ?
description,What does the channel ESPN stand for ?
description,What does VCR stand for ?
description,What does NASA stand for ?
description,What does the word LASER mean ?
description,What does NASDAQ stand for ?
description,What does e.g. stand for ?
description,What is the abbreviation for Original Equipment Manufacturer ?
description,What is DSL ?
description,What does snafu stand for ?
description,What does IBM stand for ?
description,What is the acronym for the rating system for air conditioner efficiency ?
description,What does the abbreviation IOC stand for ?
description,What does S.O.S. stand for ?
description,CPR is the abbreviation for what ?
description,What does pH stand for ?
description,What is Mikhail Gorbachev 's middle initial ?
description,What does the E stand for in the equation E=mc2 ?
description,CNN is the abbreviation for what ?
description,What is DTMF ?
description,What does INRI stand for when used on Jesus ' cross ?
description,What is the abbreviation of the International Olympic Committee ?
description,What is HTML ?
description,What does the T.S. stand for in T.S. Eliot 's name ?
description,What does the `` blue ribbon '' stand for ?
description,What is the full name of the PLO ?
description,What is the abbreviated expression for the National Bureau of Investigation ?
description,What does the number `` 5 '' stand for on FUBU clothing ?
description,"What does R.E.M. stand for , as in the rock group R.E.M. ?"
description,What does MSG stand for ?
description,What is the correct way to abbreviate cc. at the bottom of a business letter ?
description,What is IOC an abbreviation of ?
description,What does ` PSI ' stand for ?
description,"When reading classified ads , what does EENTY : other stand for ?"
description,What 's the abbreviation for limited partnership ?
description,What does BUD stand for ?
description,What does CPR stand for ?
description,What is SVHS ?
description,What does NN O `` mean when used as a prefix in Irish surnames ?
description,What is the full form of .com ?
description,What is the abbreviation of General Motors ?
entity,What is the longest English word that can be formed using just the first row of letters on a typewriter ?
entity,What is chronic constipation a symptom of ?
entity,What is a fear of passing high objects ?
entity,What articles of clothing are tokens in Monopoly ?
entity,What does a phobophobe fear ?
entity,What did Louis Cartier invent for aviator Santos Dumont in 1940 ?
entity,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?"
entity,What wheel did Blaise Pascal invent in a search for perpetual motion ?
entity,What color are tennis balls ?
entity,What is a 2-sided object called ?
entity,In what war was the first submarine used ?
entity,What animal 's tail is called a brush ?
entity,What are the conjugations of wake and woke ?
entity,Name a Salt Lake City newspaper .
entity,What does Playboy title its `` continuing dialog on contemporary issues between Playboy and its readers '' ?
entity,What is a fear of cold ?
entity,What is the only substance that gives food its `` taste '' when eaten ?
entity,What disease did August von Wassermann develop a specific test for in 196 ?
entity,"What did British companies stick 175 , 0 tons of tea into in 1982 ?"
entity,What type of hunting are retrievers used for ?
entity,What were the ceremony traditions like during the Elizabethian times ?
entity,What were the trials called which followed World War II ?
entity,What is the most commonly used 1 letter word in the English language ?
entity,What are the snakes of New England ?
entity,What did Thomas Paine write ?
entity,What are some of Australia 's native flora ?
entity,What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?
entity,What animal has the best hearing ?
entity,What kind of education do I need to become a flight attendant ?
entity,What device provided a new way to listen to music in 1963 ?
entity,What flag flies over Wake Island ?
entity,What species was Winnie the Pooh ?
entity,"What word occurs 46 , 227 times in the Bible ?"
entity,"What will a kid eat the middle of , and save the chocolate on the outside for last ?"
entity,Name the story by Chris Van Allsburg in the which a boy tries to become a great sailor ?
entity,What does ribavirin consist of ?
entity,"What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?"
entity,What is the lowest level of the American judiciary ?
entity,"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?"
entity,What was the name of the flight that Fawaz Younis hijacked ?
entity,What are the three animals in Sheila Burnford 's The Incredible Journey ?
entity,What 's the No. 1 killer in industrialized countries ?
entity,In which Kevin Costner movie did Sioux Indians play a role ?
entity,What 's the shape of a camel 's spine ?
entity,What medium is Stuart Hamblen the first singing cowboy in ?
entity,What Ernest Hemingway novel had the working title Fiesta ?
entity,Name of King Arthur 's sword ?
entity,What 's an easy way to count the approximate number of fish in a lake ?
entity,What animal migrates the farthest ?
entity,What commodity 's shortage was the largest single factor in keeping North American cars off the roads during World War II ?
entity,What sign is The Water Carrier the zodiacal symbol for ?
entity,What 's the singular of dice ?
entity,Stuart Hamblen is considered to be the first singing cowboy of which medium ?
entity,What animal has killed the most people ?
entity,What cancer is commonly associated with AIDS ?
entity,In what Olympic Games did Nadia Comaneci become popular ?
entity,What color were their horses ?
entity,What Leon Uris novel dealt with the Russian capture of Berlin ?
