label,text
negative,"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 ."
negative,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .
negative,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .
negative,"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 ."
negative,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year ."
negative,"In the Baltic countries , sales fell by 42.6 % ."
negative,A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .
negative,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .
negative,Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .
negative,"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion ."
negative,"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn ."
negative,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '"
negative,"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share ."
negative,The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .
negative,"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high ."
negative,Finnish sports equipment company Amer Sports said it has decided to lay off 370 workers from its Salomon division in France .
negative,"In Finland , media group Talentum will start personnel negotiations to cut staff in parent company Talentum and publishing unit Talentum media ."
negative,"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said ."
negative,"Kiosk and cinema operations have suffered , in particular ."
negative,"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 ."
negative,Salonen added that data shows producers ' pulp inventories in North America are declining . '
negative,"`` Adjustment to the fall in price level , in contrast , has been less effective ."
negative,Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .
negative,Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .
negative,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 ."
negative,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 ."
negative,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel ."
negative,"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 ."
negative,The terms of the aforementioned funding are considerably below the Bank 's current CDS levels in the market and have a maturity ranging from 1 to 7.5 years .
negative,The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .
negative,"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn ."
negative,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .
negative,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .
negative,"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being ."
negative,"Cuts equivalent to the costs of about 35-45 employees are the target , the company said ."
negative,"According to the company , staff will be laid off temporarily when necessary ."
negative,"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn ."
negative,Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .
negative,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months ."
negative,The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .
negative,Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .
negative,"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 ."
negative,"Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy ."
negative,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % ."
negative,Operating cash flow after investments totalled EUR 61.3 mn compared to EUR 75.3 mn in the corresponding period in 2007 .
negative,"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf"
negative,The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .
negative,Ruukki Group calculates that it has lost EUR 4mn in the failed project .
negative,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % ."
negative,"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 ."
negative,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago ."
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported ."
negative,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 ."
negative,"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today ."
negative,"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 ."
negative,"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme ."
negative,"The workforce will be reduced also in the Amsterdam office , in the Netherlands ."
negative,"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 ."
negative,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .
negative,55 workers in +_m+_l will be affected by the close-down .
negative,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses ."
negative,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ."
negative,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .
negative,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .
negative,Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .
negative,Finnish forest machinery manufacturer Ponsse has issued a profit warning .
negative,"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % ."
negative,"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier ."
negative,"As a result of the negotiations , the company will terminate total 5 employment contracts ."
negative,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions ."
negative,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 ."
negative,Nokia will certainly disagree with Qualcomm 's views on the patent situation .
negative,Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .
negative,"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year ."
negative,Device volume in the area decreased by 21 % to 2.7 mn units .
negative,The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .
negative,"`` Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said ."
negative,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ."
negative,"The dollar fell , though , against the pound and the yen ."
negative,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market ."
negative,"( ADP News ) - Jan 27 , 2009 - Finnish industrial machinery company Vaahto Group Ltd Oyj ( HEL : WAT1S ) said today that its subsidiary Vaahto Ltd would cut 15 jobs in Finland ."
negative,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales ."
negative,Reported operating margin was a negative 5.9 % .
